gene_id,D1_dNA,D2_dNA,D3_dNA,E1_dNA,E1_dPA,E2_dNA,E2_dPA,E3_dNA,E3_dPA,P1_dNA,P1_dP,P2_dNA,P2_dP,P3_dNA,P3_dP,T1_CD71A,T2_CD71A,T3_CD71A
MSTRG.58|Sgk3,2819,2695,3003,1558,2506,1368,2139,1706,2457,2092,2410,1798,1344,2521,2233,2374,2187,2945
MSTRG.59|Gm6195,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.60|Gm22607,0,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0
MSTRG.64|E330040D14Rik,0,0,2,1,0,0,3,0,0,0,0,3,0,1,0,4,6,0
MSTRG.65|Ppp1r42,227,261,249,0,0,0,0,13,0,130,16,48,0,150,23,78,152,153
MSTRG.66|Gm15818,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
MSTRG.65|Gm15818,268,275,383,4,0,5,0,0,6,56,16,41,7,0,20,103,0,172
MSTRG.63|Tcf24,47,55,29,7,4,9,3,11,0,13,3,9,3,36,14,17,22,38
MSTRG.67|Cops5,1235,1210,1144,2605,3413,2447,2963,2664,3540,1760,1188,1737,747,1701,1319,1717,1696,1677
MSTRG.68|Cspp1,1873,1894,1942,1307,1341,1493,1354,1336,1321,1519,1003,1707,584,1627,1168,1718,1719,2026
MSTRG.69|1700047N06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.70|Arfgef1,22300,22412,25478,8812,11758,8653,10554,9578,11860,12976,10239,11829,6607,15157,10152,18183,17784,24232
MSTRG.70|Gm37569,0,4,2,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0
MSTRG.71|Gm26348,3,1,2,2,0,1,2,0,0,3,1,0,2,0,1,3,1,2
MSTRG.82,4,6,2,35,65,29,62,37,71,14,8,18,7,10,9,9,6,5
MSTRG.83,2,2,3,25,28,14,23,18,42,10,4,8,1,5,4,7,2,4
ENSMUSG00000097628|Gm2383,11,13,14,3,7,6,9,16,17,7,12,19,5,6,13,9,4,10
ENSMUSG00000048960|Prex2,2,3,2,2,8,7,4,8,7,0,0,0,3,3,2,0,0,3
ENSMUSG00000077318|Gm24173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101827|Gm28686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025938|Slco5a1,14,14,11,67,6,47,6,47,3,31,12,23,9,26,15,6,7,0
MSTRG.84|A830018L16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.85|Gm38178,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
MSTRG.86|Gm29273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.89|Gm38069,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
MSTRG.87|A830018L16Rik,7,5,7,16,23,15,38,27,30,18,9,28,4,8,13,17,8,9
MSTRG.88|A830018L16Rik,14,18,23,68,108,66,121,73,156,29,20,34,9,27,37,20,22,31
MSTRG.73|Cpa6,160,175,182,13,21,14,26,12,17,38,32,15,9,48,29,65,106,123
MSTRG.78|Cpa6,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
MSTRG.79|Gm15604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.80|Gm25253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.81|Gm15603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.72|Cpa6,7278,6572,6676,120,157,116,116,222,196,1156,1226,1363,573,2103,1064,3715,3784,5059
MSTRG.72,6533,6960,8341,122,145,192,188,175,169,1879,707,1617,392,2453,705,3560,3403,4386
MSTRG.74|Cpa6,490,441,355,19,7,0,3,10,0,116,69,78,31,90,69,88,151,220
MSTRG.75|Cpa6,25,31,23,0,0,0,0,1,0,0,2,1,1,5,1,5,3,12
MSTRG.76|Cpa6,3509,2929,2459,40,46,27,52,42,53,546,460,477,196,623,407,1131,1206,1710
MSTRG.77|Gm38005,41,26,24,2,0,0,0,0,0,5,9,5,6,9,13,11,4,19
MSTRG.100|Gm29570,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.91|Ncoa2,5132,5014,4965,6312,4115,6945,3813,6033,4293,5223,4004,5200,2321,4692,4369,3948,4045,4444
MSTRG.93|Gm37409,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0
MSTRG.95|Gm38223,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
MSTRG.96|Gm37702,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3
MSTRG.97|Gm23169,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MSTRG.99|Gm38380,0,8,3,0,0,6,6,3,7,5,5,0,5,0,6,0,6,0
MSTRG.92|Gm38376,9,14,12,0,0,4,5,8,8,19,9,11,17,9,7,8,5,3
MSTRG.94|Gm27881,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.98|Gm38120,5,6,0,6,8,13,5,7,7,0,0,0,0,13,0,4,2,6
MSTRG.101|Lactb2,783,772,633,1393,1864,1555,1783,1650,1990,1070,1089,1204,672,896,1037,1005,806,762
MSTRG.102|Gm38319,4,2,0,10,19,12,4,9,15,6,5,0,5,11,14,11,7,11
MSTRG.90|Tram1,5155,5460,4919,7651,7663,7492,7893,7721,8395,5758,7141,5347,4372,6334,7736,5661,4523,4700
MSTRG.103|Gm5523,119,124,124,97,139,100,154,98,154,155,184,138,108,150,190,124,120,128
ENSMUSG00000025932|Eya1,82,46,45,126,54,150,71,163,90,76,24,38,35,48,53,26,14,25
ENSMUSG00000095853|Gm22616,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000102588|Gm37444,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.104|Smt3h2-ps4,92,108,130,185,145,98,177,106,151,114,92,100,55,125,83,139,102,148
MSTRG.105|Smt3h2-ps4,33,33,32,57,51,44,46,50,56,36,29,50,15,37,26,42,45,42
MSTRG.106|Rpl5-ps1,545,600,580,1236,877,1087,1107,1020,1028,770,736,994,430,618,754,874,868,533
