"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID"
"Ing2",792.591568317618,-0.160007050765325,0.095900538812394,-1.56419403501765,0.11777200762579,0.278227726033632,"Ing2","69260"
"Slu7",2195.67670904711,-0.16000004098002,0.0782866928030853,-1.91603496851394,0.0553606448394819,0.159879384887857,"Slu7","193116"
"Lman2l",2046.16420009557,0.1599887175911,0.102836151632217,1.4585213002478,0.144696908388549,0.322498480028184,"Lman2l","214895"
"Gm15445",27.4465137950559,-0.159984266753491,0.417365362647935,-0.359359640680123,0.719326063014719,0.876892748593723,"Gm15445",NA
"Spi1",14678.4332133234,-0.159973232698981,0.158927644197179,-0.943657306798757,0.345344797439514,0.576724255062659,"Spi1","20375"
"Kcnk6",695.053201879406,0.159966181224771,0.175114497920418,0.85638929389458,0.391782484574625,0.622747708277635,"Kcnk6","52150"
"Gm27023",6.73321076569947,0.159919282484972,0.803816951685874,0.186509232195889,0.852045439636021,0.951455326253764,"Gm27023",NA
"Gm34144",1.76497036213919,0.159800207129083,1.57930954513076,0.0948517075648268,0.924432615278175,NA,"Gm34144","108169048"
"Gm9531",548.491505153681,0.15979861315372,0.132734720486399,1.12855636117507,0.259085028392846,0.482153752390274,"Gm9531","671392"
"Anapc1",9295.2359304629,0.159763540346346,0.0690997491454615,2.16735288041465,0.0302079572213507,0.100563951924118,"Anapc1","17222"
"Gm3839",480.76406100449,-0.159752742517095,0.150465071663428,-0.995265817252752,0.319606998266897,0.550349705577883,"Gm3839","100042427"
"Gtf3c5",1212.92160372499,0.159736445211207,0.133880507235249,1.11843350688907,0.263381890448442,0.487222450459585,"Gtf3c5","70239"
"Amd1",143.309459001218,-0.159715535396845,0.319666867253598,-0.468348617681647,0.639535306181324,0.823069999582117,"Amd1","11702"
"Unc45a",1674.83727388346,-0.159666577845849,0.0848828649947378,-1.76321308022682,0.0778645584980013,0.205846552278446,"Unc45a","101869"
"Ppt2",1486.15940374691,-0.159592228004532,0.283843377294596,-0.527023844735587,0.598177029946655,0.794480789310189,"Ppt2","54397"
"Arl6ip5",2421.46417317186,-0.15958565178446,0.077930813471521,-1.91946734700934,0.0549252148828381,0.159042451691165,"Arl6ip5","65106"
"Zfp69",106.102720158421,-0.159575745331426,0.286955876631936,-0.521249981310815,0.602192640145242,0.797160911197051,"Zfp69","381549"
"Gm10778",76.2550744667099,0.159528389721323,0.279218675115974,0.535524314980779,0.592287348588807,0.790198835158345,"Gm10778","100233208"
"Ylpm1",4148.62513308903,0.159526180255498,0.110948564426465,1.34770721034973,0.177752572077636,0.372599845500651,"Ylpm1","56531"
"Chaf1a",5123.0515915043,0.159514847662486,0.0886697524516283,1.6861989971614,0.0917574770026952,0.231457287601012,"Chaf1a","27221"
"Mipep",1212.67851457602,-0.159459188502268,0.0982562054263233,-1.52111704145077,0.128230468684042,0.296136029515179,"Mipep","70478"
"Plppr2",111.601233055562,-0.159454061809888,1.25330144537144,-0.119248296059848,0.905078644872234,0.978506956960661,"Plppr2","235044"
"Pcdhga6",3.07468154891419,0.15942437736275,2.01658836375984,0.0740976096302344,0.940932717272985,NA,"Pcdhga6","93714"
"Mpp7",1426.69193426267,-0.159422992811367,0.159149319151755,-0.938885529688549,0.347789519385895,0.57932347493436,"Mpp7","75739"
"Tacc1",8376.66647021767,-0.159422819234299,0.0589758904389703,-2.53362548868889,0.0112889311584567,0.0465511370305995,"Tacc1","320165"
"X4933416M07Rik",3.813160029768,0.159374756472829,0.923557046662693,0.161738527157147,0.871511763676625,NA,"X4933416M07Rik",NA
"Suds3",3579.39240992527,-0.159223894090472,0.0862513488129711,-1.73010504930249,0.0836115082730109,0.216714108101875,"Suds3","71954"
"Kxd1",2526.84020032452,-0.159208783395139,0.0896757624481356,-1.66386969368044,0.0961384726008986,0.239222125730741,"Kxd1","75620"
"Stard10",2416.42156731758,-0.159195680751174,0.256571988818659,-0.581496372375328,0.560905962434008,0.766063234417538,"Stard10","56018"
"Etaa1",729.900547808975,0.159164125117249,0.10132834742878,1.47208682370046,0.140997433159066,0.317011240443236,"Etaa1","68145"
"Gm45640",21.244951062143,0.159139346894594,0.555527827550011,0.268464223569733,0.788342009833443,0.918844674847943,"Gm45640",NA
"Gm21596",669.710154486395,0.158993640278344,0.125378224258006,1.18835340953419,0.234694203780857,0.451528995320541,"Gm21596","100862258"
"Gm5801",114.514514029371,0.15897986934804,0.273494421877569,0.5447272683855,0.585941107600271,0.784860756742988,"Gm5801","545056"
"Ssh2",5841.36040194915,-0.15895751113762,0.138242006977238,-1.07751264897468,0.281251302924368,0.507034277643844,"Ssh2","237860"
"Gpi.ps",595.814829485923,-0.158921729742343,0.200341423747808,-0.743339679615171,0.457276054056974,0.682673438497893,"Gpi",NA
"Jmy",906.92277083948,-0.158873305433108,0.15465834515558,-0.962594713420398,0.335750951585454,0.567239231835056,"Jmy","57748"
"Rnu5g",5.85509582344497,0.158869699180825,0.741181863297838,0.200854481946495,0.840812360458367,0.946860766281945,"Rnu5g","97418"
"Tepsin",1068.67603435612,0.158848530904996,0.134982659672534,1.10272335177052,0.270147322664174,0.494491614791955,"Tepsin","78777"
"Gm807",64.1860244268302,-0.158818960452274,0.305897441901046,-0.486499525878398,0.626613041412587,0.814233776325806,"Gm807","328320"
"Mcee",1018.48398314341,0.158715143406457,0.146569717225389,1.01463758149829,0.310278617971488,0.539943083102011,"Mcee","73724"
"Ercc6l",1768.07322755243,0.158687815377923,0.0910401053823873,1.63321225028688,0.102424364404012,0.251069765077762,"Ercc6l","236930"
"Fam24b",2.78311193408878,0.158641464646895,1.23911086148065,0.119958164573974,0.904516288410811,NA,"Fam24b","69318"
"Irgq",1293.80703799033,-0.158638548469199,0.103718480146965,-1.43309609105903,0.15183037838919,0.333856370676063,"Irgq","210146"
"Adm2",58.6485981340629,0.158623001841265,0.448289068310047,0.331533852479477,0.740241274836075,0.890486779108851,"Adm2","223780"
"Zfp995",43.214574581457,-0.158594605012989,0.438659075799732,-0.338747362612029,0.734800057643807,0.886975055038335,"Zfp995","70081"
"C130051F05Rik",27.6535650467048,-0.158577008035378,0.523049324851691,-0.284059267407536,0.776364961586067,0.912391627962978,"C130051F05Rik","320348"
"Zdhhc12",934.501839188847,0.158572368059376,0.130089964650869,1.14207401361134,0.253423256044271,0.475025525105568,"Zdhhc12","66220"
"Proser3",785.844517305833,-0.158512853089029,0.139629282855941,-1.0636225442929,0.287499725385435,0.51441958393656,"Proser3","333193"
"Cenpi",1197.2893961555,0.158460064888067,0.0994619449001615,1.49263183056685,0.135533586517771,0.30809836987771,"Cenpi","102920"
"Frmd8",3994.59947505187,-0.158435456005202,0.0893297433239199,-1.66165770192531,0.0965814266708381,0.240180321598741,"Frmd8","67457"
"X1700124L16Rik",15.4406588826026,0.158408778910639,0.840036258169843,0.176669491902613,0.859768005817675,0.954938394965811,"X1700124L16Rik",NA
"Zbtb24",683.227205806688,-0.158370839525625,0.109242969007779,-1.35817289545709,0.174408828990665,0.36748407814341,"Zbtb24","268294"
"Mgrn1",3225.35708627554,-0.158365177241872,0.0846806671353088,-1.75205489353081,0.0797643693530061,0.209587269099009,"Mgrn1","17237"
"Phtf1",1033.42889174428,0.158341298163762,0.0794455334361728,1.86720752882779,0.0618726126403979,0.173658421789295,"Phtf1","18685"
"Cacnb1",135.678152777039,-0.158314536546748,0.259081269646754,-0.572463369308668,0.567008095367899,0.770785439696102,"Cacnb1","12295"
"Snx3",6453.89213910907,-0.158286544336238,0.0783577038357178,-1.89243095544417,0.0584335848595089,0.166214703041114,"Snx3","54198"
"Nup160",3812.20790979642,0.158262048878631,0.0698319377468827,2.12312666184391,0.033743239378481,0.109538832462998,"Nup160","59015"
"Gm22940",1.95025906758436,0.158253588158782,1.58980632815818,0.0932526091593411,0.925702880368661,NA,"Gm22940",NA
