"","SEDM_2P_1","SEDM_2P_2","SEDM_2P_3","SEEM_2P_1","SEEM_2P_2","SEEM_2P_3","SEEM_4P_1","SEEM_4P_2","SEEM_4P_3","PERKi_1","PERKi_2","PERKi_3","T_1","T_2","T_3","P1_dP_redoA_1","P2_dP_redoA_1","P3_dP_redoA_1"
"Kntc1",4774,4289,4448,3884,3769,3785,3871,3866,3992,3673,3536,3635,5300,5295,6041,650,487,1137
"Kpna1",3479,3806,4123,4255,3867,4485,4519,5029,5528,3511,3593,3334,3836,3357,4145,2767,1762,2952
"Kpna2",12868,13306,13861,10316,10002,10477,15405,15163,16140,13681,12317,13347,14361,13428,16567,3543,2274,4966
"Kpna2.ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kpna3",2014,1984,2115,4740,4470,4417,4661,5227,5212,3085,2888,2681,2668,2488,2488,2086,1264,2188
"Kpna4",3974,4086,4467,3867,3765,4013,5418,6050,6438,3118,3093,3154,3775,3564,4098,2992,1743,3086
"Kpna6",2722,2362,2579,3958,3906,3966,4547,4655,4935,2915,2812,2757,2566,2487,2617,2651,1582,2873
"Kpna7",1,3,0,0,0,0,0,0,0,1,6,1,3,0,2,1,0,1
"Kpnb1",3,18,4,4,3,0,2,7,5,0,19,2,6,6,7,8298,5356,9856
"Kpnb1.1",11144,11047,11451,20149,20311,22421,27358,30938,31385,15345,14366,12970,12395,11977,12824,0,0,0
"Kprp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kptn",388,451,425,507,494,548,506,490,499,484,388,511,465,370,394,405,265,477
"Kras",2473,2646,2408,2652,2387,2070,2204,2408,2398,2326,1896,2443,2221,2143,2526,1407,741,1461
"Krba1",410,286,185,2279,2495,1698,832,705,468,912,939,692,308,293,131,1798,893,2210
"Krcc1",1366,1518,1472,1402,1302,1189,1127,1116,1187,1829,1852,1764,1646,1454,2294,1528,851,1470
"Kremen1",403,495,435,485,502,494,931,807,778,526,477,618,344,268,418,1990,1160,1923
"Kremen2",5,0,0,6,6,11,0,0,0,0,0,5,0,0,0,0,0,4
"Kri1",2752,3014,2784,1790,1948,2116,1881,2015,1748,1809,1975,2008,2021,2438,2739,1245,721,1424
"Krit1",2226,2374,2453,2678,2583,2340,1956,1976,2076,2320,1981,2022,1817,1791,2090,1880,1021,1914
"Krr1",3012,3222,3418,3007,2791,3428,3888,4173,5267,3740,3835,3795,2687,2517,2886,3277,2103,3559
"Krt1",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
"Krt10",17,20,17,32,39,28,25,44,21,24,37,31,25,17,30,31,19,17
"Krt12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
